Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
Virginia Foothills Park,"13905 Spelling Ct., Reno",,39.400816,-119.725054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Lake Park,1980 Lakeside Dr,Reno,39.503852,-119.807185,SW,Community,31.58,1.18,Yes,152,8,5,Yes,Yearly,0,0,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Comb,0,0,,pond/lake,Yes,0,Yes,"dog park,"
Vista View Park,2201 N. D'Andrea Parkway,Sparks,39.558186,-119.702153,,Neighborhood,2,,Yes,,,,0,,Yes,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, benches,"
Warner ES,3075 Heights Dr,Reno,39.528538,-119.855769,NW,School,2.25,1.34,0,0,0,0,0,,0,0,0,0,0,0,2,0,2,0,0,0,1,,0,,0,0,,,0,0,,
Water's Edge,200 Booth St,Reno,39.519945,-119.825423,SW,Pathway,0.24,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Wedekind Regional Park - 11 Disc Drive,11 Disc Drive,Sparks,39.575438,-119.743819,,Regional,287,,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,"one of two trailheads, canopy, disc golf, outdoor classroom, historic/interpretive signage,"
West Street Plaza,220 West 1st St,Reno,39.524912,-119.815599,NW,Pocket,0.46,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,Yes,
Westergard ES,1785 Ambassador Dr,Reno,39.526915,-119.893071,NW,School,2.63,1.65,0,0,0,0,0,,0,0,0,Yes,0,0,2,0,0,0,1,0,0,,0,,0,0,,,0,0,,
Wheatland Park,990 Wheatland Rd,Reno,39.470872,-119.802731,SW,Neighborhood,6.08,2.94,Yes,1,1,1,Yes,Seasonal,0,0,Yes,Yes,0,0,0,1,0,0,0,0,0,,0,,Yes,0,,stream,0,Yes,,
Whitaker Park,550 University Terrace,Reno,39.533323,-119.823568,NW,Neighborhood,8.15,5.89,0,0,0,1,Yes,Seasonal,0,0,Yes,Yes,2,0,0,0,0,0,0,0,0,,0,,Yes,0,,,0,0,Yes,
Wedekind Regional Park - 4th Street,trailhead at the end of 4th Street,Sparks,39.566883,-119.742662,,Regional,287,,0,,,,,,,,,,,,,,,,0,0,,,Yes,,,,,,,,,
Whites Creek Park,"Telluride Drive at Killington Circle, Reno",,39.395588,-119.782932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"canopy,"
Wilkinson Park,1201 East Taylor St,Reno,39.517733,-119.792248,SE,Neighborhood,4.29,3.78,0,0,0,1,Yes,Seasonal,0,0,0,Yes,2,0,0,0,0,0,3,0,0,,0,,0,0,,,0,0,,
Wildcreek Park,3900 El Rancho Blvd.,Sparks,39.567918,-119.774253,,Pocket,20.8,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,
Willowcreek Park,1250 E. Prater Way,Sparks,39.542769,-119.723375,,Neighborhood,5.3,,Yes,,,,0,,Yes,,,Yes,0,0,1,0,,,0,0,,,Yes,,Yes,0,,,0,,,"handball, canopy, benches, historic building,"
Wingfield Park,2 South Arlington Ave,Reno,39.523768,-119.816251,SW,Neighborhood,3.21,1.58,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,river,0,0,Yes,
Wilson Commons Park,"4970 Susan Lee Circle, Washoe Valley",,39.266824,-119.835592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yori Park,2800 Yori Ave,Reno,39.497689,-119.793439,SE,Neighborhood,3.13,1.5,0,0,0,1,Yes,Yearly,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,0,,0,0,,,0,Yes,,
Woodtrail Park,1730 Golden Spike Drive,Sparks,39.546505,-119.709794,,Neighborhood,2.6,,Yes,,,,0,,Yes,,,Yes,1,0,0.5,1,,,0,0,,,Yes,,Yes,0,,,0,,,"grills, canopy, benches,"
